[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:16.469678
[b'228', b'226', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:17.077274
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:17.684684
[b'228', b'227', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:18.290996
[b'228', b'227', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:18.898413
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:19.505336
[b'228', b'227', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:20.111895
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:20.719256
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:21.326695
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:21.932861
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:22.539536
[b'228', b'227', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:23.146795
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:23.754077
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:24.361181
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:24.968648
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:25.577752
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:26.183761
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:26.791520
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:27.398633
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:28.005699
[b'228', b'227', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:28.612843
[b'228', b'225', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:29.220229
[b'228', b'228', b'228', b'228', b'026', b'000', b'0001', b'0000', b'', b'', b'']-2024-05-05 18:23:29.827669
[b'228', b'227', b'228', b'228', b'026', b'000', b'0001', b'0000', b'', b'', b'']-2024-05-05 18:23:30.433583
[b'228', b'228', b'228', b'228', b'026', b'000', b'0001', b'0000', b'', b'', b'']-2024-05-05 18:23:31.041326
[b'226', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:31.648787
[b'224', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:32.256816
[b'224', b'228', b'228', b'228', b'026', b'000', b'0001', b'0000', b'', b'', b'']-2024-05-05 18:23:32.865810
[b'221', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:33.471754
[b'221', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:34.079119
[b'227', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:34.686718
[b'227', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:35.294785
[b'227', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:35.902975
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:36.510258
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:37.117225
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:37.723898
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:38.330612
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:38.938541
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:39.545224
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:40.151954
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:40.758602
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:41.366382
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:41.973733
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:42.580893
[b'228', b'228', b'228', b'228', b'026', b'000', b'0000', b'0000', b'', b'', b'']-2024-05-05 18:23:43.187111
